@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
468,'2020/10/15 21:38:43:052',507,10.456928,-0.218124,0.017951,452.282013,94.704826,-2.973722,52.96505,-3.650032,0.155992,5.141236,-0.188716,0.011309,5.48174,-0.273284,0.011179,28
469,'2020/10/15 21:38:43:905',508,7.245957,0.249297,-0.001898,705.55658,49.172047,-2.127515,83.642006,-4.316302,0.105762,5.34242,0.032784,0.001836,6.97028,-0.285441,0.008045,29
470,'2020/10/15 21:38:44:716',509,5.31629,0.367626,-0.000975,281.702728,132.212341,-4.833486,56.297241,-4.103354,0.115183,6.14698,0.001532,0.003365,5.96959,-0.334277,0.009645,30
471,'2020/10/15 21:38:45:537',510,5.255503,0.039999,0.019562,897.259277,40.124733,-1.479492,2.345464,3.645991,-0.083648,4.268439,0.040155,0.003808,2.349822,0.1617,-0.002799,31
472,'2020/10/15 21:38:46:327',511,11.213197,-1.070335,0.054535,1026.80481,-26.314907,0.62619,2.861044,6.449254,-0.191227,4.784668,0.110564,-0.004675,2.491593,0.307026,-0.008653,32
473,'2020/10/15 21:38:46:881',512,9.928235,-0.029837,-0.08154,748.482544,13.050195,4.298191,19.195379,2.885783,-0.474278,7.700911,-0.632961,0.027922,2.999178,0.418097,-0.062837,33
474,'2020/10/15 21:38:47:650',513,17.946171,-1.38578,0.05997,1561.806152,-92.608131,4.934554,8.492061,1.358637,-0.07285,5.901021,-0.242388,0.011463,1.972031,0.198886,-0.011281,34
475,'2020/10/15 21:38:48:183',514,8.595695,0.952545,-0.179334,1875.685547,-178.889801,13.076274,4.524024,2.025001,-0.182868,3.759432,1.194269,-0.153945,1.379836,0.224451,-0.015761,35
476,'2020/10/15 21:38:48:908',515,11.587772,-0.276083,0.023421,1132.486572,-56.04356,4.715781,11.02407,3.790577,-0.246336,5.64836,-0.367109,0.025003,2.358556,0.354857,-0.024306,36
477,'2020/10/15 21:38:49:473',516,10.488952,-0.230898,-0.050795,1461.081787,-143.58429,9.769968,6.85427,1.964209,-0.063112,7.602796,-0.873169,0.067046,1.475856,0.355692,-0.020444,37
478,'2020/10/15 21:38:50:017',517,15.936409,0.293375,-0.190571,1565.735352,-217.418732,20.601603,4.661383,10.209665,-1.032184,3.289564,1.824906,-0.190957,1.683644,0.926049,-0.095513,38
479,'2020/10/15 21:38:50:732',518,18.931744,-2.218324,0.116889,970.844727,53.202202,-3.5114,30.12005,-2.83029,0.204518,7.03799,-0.431094,0.037655,3.956815,-0.230782,0.015953,39
480,'2020/10/15 21:38:51:479',519,16.748871,-1.922589,0.094854,689.312622,68.740959,-3.993726,58.138199,-6.918691,0.443158,7.581285,-1.219826,0.083717,5.681153,-0.410217,0.024396,40
481,'2020/10/15 21:38:52:076',520,17.098064,-2.812629,0.18703,500.537872,54.082504,2.072029,94.651749,-3.928333,-0.245319,9.094566,-1.213169,0.068184,7.521608,-0.251617,-0.014391,41
482,'2020/10/15 21:38:52:673',521,19.726439,-2.807227,0.146657,975.346191,44.886555,-1.691289,42.84116,-1.625363,0.020685,8.717359,-1.8371,0.155824,5.021944,-0.204049,0.007844,42
483,'2020/10/15 21:38:53:473',522,14.974959,-1.262078,0.057201,871.172791,26.540888,-1.286847,85.625641,-7.027987,0.316714,13.351756,-1.530926,0.057753,7.187615,-0.417901,0.017961,43
